Width,Prob,Time
700,0.35,2011
700,0.4,1745
700,0.45,1550
700,0.5,1399
700,0.55,1269
700,0.6,1163
700,0.65,1073
700,0.7,995
700,0.75,931
700,0.8,874
700,0.85,823
710,0.2,3543
710,0.25,2834
710,0.3,2366
710,0.35,2029
710,0.4,1778
710,0.45,1571
710,0.5,1426
710,0.55,1286
710,0.6,1179
710,0.65,1086
710,0.7,1015
710,0.75,946
710,0.8,886
710,0.85,835
720,0.2,3594
720,0.25,2887
720,0.3,2402
720,0.35,2048
720,0.4,1796
720,0.45,1596
720,0.5,1433
720,0.55,1305
720,0.6,1199
720,0.65,1105
720,0.7,1029
720,0.75,958
720,0.8,899
720,0.85,848
730,0.2,3634
730,0.25,2923
730,0.3,2431
730,0.35,2093
730,0.4,1826
730,0.45,1609
730,0.5,1458
730,0.55,1329
730,0.6,1221
730,0.65,1119
730,0.7,1041
730,0.75,970
730,0.8,911
730,0.85,859
740,0.2,3716
740,0.25,2960
740,0.3,2467
740,0.35,2119
740,0.4,1839
740,0.45,1651
740,0.5,1477
740,0.55,1342
740,0.6,1232
740,0.65,1135
740,0.7,1056
740,0.75,989
740,0.8,922
740,0.85,869
750,0.2,3758
750,0.25,2995
750,0.3,2504
750,0.35,2140
750,0.4,1876
750,0.45,1670
750,0.5,1498
750,0.55,1363
750,0.6,1248
750,0.65,1152
750,0.7,1071
750,0.75,999
750,0.8,935
750,0.85,882
760,0.2,3793
760,0.25,3029
760,0.3,2526
760,0.35,2167
760,0.4,1903
760,0.45,1692
760,0.5,1525
760,0.55,1381
760,0.6,1261
760,0.65,1174
760,0.7,1086
760,0.75,1011
760,0.8,951
760,0.85,894
770,0.2,3824
770,0.25,3073
770,0.3,2573
770,0.35,2192
770,0.4,1922
770,0.45,1711
770,0.5,1538
770,0.55,1400
770,0.6,1283
770,0.65,1185
770,0.7,1099
770,0.75,1025
770,0.8,962
770,0.85,902
780,0.2,3890
780,0.25,3138
780,0.3,2589
780,0.35,2231
780,0.4,1953
780,0.45,1728
780,0.5,1553
780,0.55,1417
780,0.6,1299
780,0.65,1197
780,0.7,1111
780,0.75,1038
780,0.8,974
780,0.85,915
790,0.2,3947
790,0.25,3159
790,0.3,2639
790,0.35,2254
790,0.4,1968
790,0.45,1755
790,0.5,1580
790,0.55,1436
790,0.6,1316
790,0.65,1214
790,0.7,1130
790,0.75,1051
790,0.8,991
790,0.85,929
800,0.2,4006
800,0.25,3178
800,0.3,2654
800,0.35,2282
800,0.4,2003
800,0.45,1780
800,0.5,1593
800,0.55,1452
800,0.6,1330
800,0.65,1225
800,0.7,1144
800,0.75,1066
800,0.8,998
800,0.85,941
810,0.2,4030
810,0.25,3228
810,0.3,2695
810,0.35,2305
810,0.4,2013
810,0.45,1803
810,0.5,1615
810,0.55,1473
810,0.6,1352
810,0.65,1247
810,0.7,1157
810,0.75,1079
810,0.8,1012
810,0.85,951
820,0.2,4082
820,0.25,3282
820,0.3,2724
820,0.35,2344
820,0.4,2043
820,0.45,1815
820,0.5,1634
820,0.55,1491
820,0.6,1366
820,0.65,1261
820,0.7,1174
820,0.75,1092
820,0.8,1023
820,0.85,962
830,0.2,4153
830,0.25,3310
830,0.3,2740
830,0.35,2369
830,0.4,2071
830,0.45,1848
830,0.5,1666
830,0.55,1512
830,0.6,1379
830,0.65,1275
830,0.7,1186
830,0.75,1106
830,0.8,1035
830,0.85,974
840,0.2,4187
840,0.25,3344
840,0.3,2804
840,0.35,2391
840,0.4,2100
840,0.45,1861
840,0.5,1679
840,0.55,1522
840,0.6,1397
840,0.65,1293
840,0.7,1200
840,0.75,1117
840,0.8,1051
840,0.85,988
850,0.2,4248
850,0.25,3401
850,0.3,2817
850,0.35,2430
850,0.4,2125
850,0.45,1887
850,0.5,1697
850,0.55,1546
850,0.6,1418
850,0.65,1305
850,0.7,1216
850,0.75,1129
850,0.8,1061
850,0.85,999
860,0.2,4299
860,0.25,3444
860,0.3,2869
860,0.35,2455
860,0.4,2152
860,0.45,1905
860,0.5,1723
860,0.55,1563
860,0.6,1433
860,0.65,1319
860,0.7,1222
860,0.75,1145
860,0.8,1073
860,0.85,1010
870,0.2,4359
870,0.25,3473
870,0.3,2887
870,0.35,2478
870,0.4,2168
870,0.45,1926
870,0.5,1745
870,0.55,1583
870,0.6,1449
870,0.65,1336
870,0.7,1245
870,0.75,1160
870,0.8,1086
870,0.85,1022
880,0.2,4392
880,0.25,3527
880,0.3,2931
880,0.35,2524
880,0.4,2187
880,0.45,1953
880,0.5,1762
880,0.55,1600
880,0.6,1464
880,0.65,1353
880,0.7,1257
880,0.75,1175
880,0.8,1099
880,0.85,1033
890,0.2,4444
890,0.25,3555
890,0.3,2972
890,0.35,2530
890,0.4,2224
890,0.45,1981
890,0.5,1780
890,0.55,1610
890,0.6,1478
890,0.65,1369
890,0.7,1272
890,0.75,1186
890,0.8,1114
890,0.85,1045
900,0.2,4502
900,0.25,3579
900,0.3,2982
900,0.35,2574
900,0.4,2247
900,0.45,2006
900,0.5,1798
900,0.55,1635
900,0.6,1497
900,0.65,1387
900,0.7,1284
900,0.75,1199
900,0.8,1124
900,0.85,1059
910,0.2,4547
910,0.25,3633
910,0.3,3031
910,0.35,2595
910,0.4,2272
910,0.45,2020
910,0.5,1819
910,0.55,1650
910,0.6,1513
910,0.65,1396
910,0.7,1298
910,0.75,1212
910,0.8,1138
910,0.85,1071
920,0.2,4603
920,0.25,3670
920,0.3,3061
920,0.35,2623
920,0.4,2300
920,0.45,2052
920,0.5,1842
920,0.55,1671
