Width,Prob,Time
586,0.5,11698.32
587,0.5,11734.62
588,0.5,11753.73
589,0.5,11765.53
590,0.5,11800.92
591,0.5,11820.11
592,0.5,11833.3
593,0.5,11850.33
594,0.5,11863.89
595,0.5,11864.64
596,0.5,11905.26
597,0.5,11931.58
598,0.5,11959.13
599,0.5,11963.38
600,0.5,11974.25
601,0.5,12032.91
602,0.5,12022.9
603,0.5,12032.21
604,0.5,12080.58
605,0.5,12086.45
606,0.5,12098.69
607,0.5,12108.93
608,0.5,12165.59
609,0.5,12180.43
610,0.5,12193.32
611,0.5,12218.78
612,0.5,12227.58
613,0.5,12256.42
614,0.5,12251.88
615,0.5,12305.8
616,0.5,12303.53
617,0.5,12329.36
618,0.5,12365.07
619,0.5,12383.38
620,0.5,12383.94
621,0.5,12425.76
622,0.5,12453.4
623,0.5,12467.17
624,0.5,12475.56
625,0.5,12494.9
626,0.5,12502.4
627,0.5,12545.51
628,0.5,12554.16
629,0.5,12562.05
630,0.5,12583.55
631,0.5,12607.27
632,0.5,12637.75
633,0.5,12656.11
634,0.5,12659.5
635,0.5,12672.59
636,0.5,12697.5
637,0.5,12726.08
638,0.5,12751.19
639,0.5,12771.66
640,0.5,12792.28
641,0.5,12798.91
642,0.5,12817.96
643,0.5,12830.05
644,0.5,12871.82
645,0.5,12867.07
646,0.5,12899.96
647,0.5,12919.19
648,0.5,12944.59
649,0.5,12963.88
650,0.5,13003.86
651,0.5,13001.17
652,0.5,13022.03
653,0.5,13052.38
654,0.5,13077.76
655,0.5,13099.69
656,0.5,13107.69
657,0.5,13135.39
658,0.5,13167.02
659,0.5,13172.01
660,0.5,13190.24
661,0.5,13206.32
662,0.5,13241.61
663,0.5,13237.13
664,0.5,13289.55
665,0.5,13277.1
666,0.5,13307.13
667,0.5,13320.68
668,0.5,13344.82
669,0.5,13358.07
670,0.5,13373.86
671,0.5,13420.09
672,0.5,13445.05
673,0.5,13437.44
674,0.5,13475.91
675,0.5,13499.53
676,0.5,13503.6
677,0.5,13545.31
678,0.5,13559.52
679,0.5,13582.34
680,0.5,13599.38
681,0.5,13615.7
682,0.5,13651.88
683,0.5,13646.32
684,0.5,13644.42
685,0.5,13706.13
686,0.5,13697.14
687,0.5,13734.4
688,0.5,13750.2
689,0.5,13784.47
690,0.5,13777.55
691,0.5,13816.83
692,0.5,13827.27
693,0.5,13830.12
694,0.5,13847.68
695,0.5,13890.99
696,0.5,13932.9
697,0.5,13938.56
698,0.5,13960.11
699,0.5,13971.01
700,0.5,13993.58
701,0.5,14000.45
702,0.5,14027.78
703,0.5,14058.5
704,0.5,14078.84
705,0.5,14082.08
706,0.5,14093.82
707,0.5,14126.78
708,0.5,14146.97
709,0.5,14184.72
710,0.5,14169.19
711,0.5,14196.56
712,0.5,14215.41
713,0.5,14226.24
714,0.5,14272.63
715,0.5,14297.91
716,0.5,14295.03
717,0.5,14320.81
718,0.5,14351.14
719,0.5,14367.17
720,0.5,14391.48
721,0.5,14407.42
722,0.5,14442.67
723,0.5,14448.27
724,0.5,14446
725,0.5,14498.62
726,0.5,14494.78
727,0.5,14545.05
728,0.5,14537.01
729,0.5,14581.61
730,0.5,14597.88
731,0.5,14640.84
732,0.5,14625.86
733,0.5,14650.8
734,0.5,14684.63
735,0.5,14688.92
736,0.5,14705.91
737,0.5,14742.53
738,0.5,14752.89
739,0.5,14788.88
740,0.5,14791.09
741,0.5,14805.87
742,0.5,14831.58
743,0.5,14886.37
744,0.5,14863.42
745,0.5,14876.36
746,0.5,14917.79
747,0.5,14936.26
748,0.5,14961.97
749,0.5,14970.49
750,0.5,14974.66
751,0.5,15013.19
752,0.5,15021.04
753,0.5,15059.25
754,0.5,15066.93
755,0.5,15094.74
756,0.5,15116.92
757,0.5,15129.27
758,0.5,15145.59
759,0.5,15151.91
760,0.5,15195.06
761,0.5,15206.79
762,0.5,15248.84
763,0.5,15243.3
764,0.5,15276.41
765,0.5,15299.78
766,0.5,15286.91
767,0.5,15330.12
768,0.5,15331.91
769,0.5,15372.43
770,0.5,15387.28
771,0.5,15417.24
772,0.5,15423.59
773,0.5,15447.12
774,0.5,15464.74
775,0.5,15478.08
776,0.5,15497.06
777,0.5,15545.65
778,0.5,15546.36
779,0.5,15555.19
780,0.5,15553.02
781,0.5,15622.92
782,0.5,15629.95
783,0.5,15658.79
784,0.5,15652.51
785,0.5,15697.07
786,0.5,15712.52
787,0.5,15743.69
788,0.5,15723.02
789,0.5,15780.42
790,0.5,15790.05
791,0.5,15808.81
792,0.5,15825.84
793,0.5,15861.84
794,0.5,15879.28
795,0.5,15882.55
796,0.5,15917.24
797,0.5,15911.64
798,0.5,15956.65
799,0.5,15978.13
800,0.5,15982.81
801,0.5,15990.35
802,0.5,16046.92
803,0.5,16056.33
804,0.5,16086.22
805,0.5,16087.93
806,0.5,16109.52
807,0.5,16154.34
808,0.5,16155.78
809,0.5,16183.13
810,0.5,16207.96
811,0.5,16223.13
812,0.5,16238.07
813,0.5,16225.81
814,0.5,16286.18
815,0.5,16292.3
816,0.5,16320.24
817,0.5,16338.74
818,0.5,16353.2
819,0.5,16409.47
820,0.5,16366.06
821,0.5,16415.38
822,0.5,16441.84
823,0.5,16450.83
824,0.5,16454.6
825,0.5,16469.97
826,0.5,16486.98
827,0.5,16537.45
828,0.5,16550.32
829,0.5,16578.09
830,0.5,16584.85
831,0.5,16608.51
832,0.5,16659.84
833,0.5,16630.83
834,0.5,16678.77
835,0.5,16679.06
836,0.5,16704.16
837,0.5,16741.13
838,0.5,16731.77
839,0.5,16768.61
840,0.5,16772.36
841,0.5,16825.46
842,0.5,16831.95
843,0.5,16843.88
844,0.5,16875.14
845,0.5,16882.96
846,0.5,16921.51
847,0.5,16945.73
848,0.5,16969.94
849,0.5,16946.73
850,0.5,16975.22
851,0.5,17005.45
852,0.5,17037.93
853,0.5,17052.63
854,0.5,17070.23
855,0.5,17080.28
856,0.5,17118.03
857,0.5,17137.95
858,0.5,17106.55
859,0.5,17159.72
860,0.5,17184.9
861,0.5,17231.59
862,0.5,17240.78
863,0.5,17255.63
864,0.5,17280.91
865,0.5,17310.25
866,0.5,17308.97
867,0.5,17336.78
868,0.5,17371.84
869,0.5,17349.8
870,0.5,17418.44
871,0.5,17418.18
872,0.5,17447.19
873,0.5,17433.25
874,0.5,17451.83
875,0.5,17497.6
876,0.5,17491.19
877,0.5,17520.05
878,0.5,17551.56
879,0.5,17590.62
880,0.5,17605.77
881,0.5,17636.04
882,0.5,17635.98
883,0.5,17676.93
884,0.5,17677.57
885,0.5,17671.36
886,0.5,17735.16
887,0.5,17726.96
888,0.5,17736.88
889,0.5,17784
890,0.5,17794.84
891,0.5,17838.78
892,0.5,17833.6
893,0.5,17862.83
894,0.5,17868.59
895,0.5,17888.48
896,0.5,17926.07
897,0.5,17932.8
898,0.5,17962.51
899,0.5,17978.9
900,0.5,17988.83
901,0.5,18009.67
902,0.5,18031.43
903,0.5,18037.87
904,0.5,18060.57
905,0.5,18081.66
906,0.5,18124.83
907,0.5,18125.48
908,0.5,18172.57
909,0.5,18173.33
910,0.5,18204.5
911,0.5,18237.78
912,0.5,18235.02
913,0.5,18255.28
914,0.5,18253.68
915,0.5,18275.35
916,0.5,18303.63
917,0.5,18345.61
918,0.5,18365.45
919,0.5,18352.94
920,0.5,18392.11
921,0.5,18420.91
922,0.5,18429.6
923,0.5,18435.66
924,0.5,18466.58
925,0.5,18515.76
926,0.5,18509.46
927,0.5,18554.39
928,0.5,18557.33
929,0.5,18575.55
930,0.5,18597.38
931,0.5,18600.53
932,0.5,18643.29
933,0.5,18650.97
934,0.5,18680.54
935,0.5,18681.84
936,0.5,18705.32
937,0.5,18739.58
938,0.5,18742.78
939,0.5,18785.74
940,0.5,18769.99
941,0.5,18801.73
942,0.5,18854.99
943,0.5,18832.22
944,0.5,18866.3
945,0.5,18898.81
946,0.5,18926.82
947,0.5,18934.1
948,0.5,18947.2
949,0.5,18967.74
950,0.5,18982.54
951,0.5,19006.44
952,0.5,19050.1
953,0.5,19050.53
954,0.5,19062.2
955,0.5,19091.35
956,0.5,19098.13
957,0.5,19101.95
958,0.5,19140.31
959,0.5,19174.18
960,0.5,19221.95
961,0.5,19218.64
962,0.5,19236.64
963,0.5,19233.73
964,0.5,19250.77
965,0.5,19281.54
966,0.5,19295.47
967,0.5,19328.98
968,0.5,19343.02
969,0.5,19381.24
970,0.5,19371.89
971,0.5,19406.93
972,0.5,19437.98
973,0.5,19431.6
974,0.5,19443.56
975,0.5,19512.21
976,0.5,19504.44
977,0.5,19527.82
978,0.5,19560.75
979,0.5,19549.34
980,0.5,19622.94
981,0.5,19601.25
982,0.5,19609.25
983,0.5,19648.48
984,0.5,19672.47
985,0.5,19705.87
986,0.5,19735.66
987,0.5,19746.92
988,0.5,19742.55
989,0.5,19772.17
990,0.5,19805.15
991,0.5,19804.29
992,0.5,19834.74
993,0.5,19818.64
994,0.5,19879.1
995,0.5,19892.32
996,0.5,19914.91
997,0.5,19921.04
998,0.5,19954.08
999,0.5,19961.79
1000,0.5,19983.63
